content,score
mudah cepat lengkap,5
toooooooppp,5
mudah,5
lancar sukses aman kendali,5
transaksi cepat mudah,5
alhamdulillah layan nya hitung bagus,5
live motor home often location bank ranch nearby easy deposit checks thats use app,5
tingkat layan,5
yang pakai bagus kendala,5
kemarin transaksi proses aju keluh aplikasi kemarin gk saldo udah bukti riwayat keluar,1
responsip,5
hate federal credit union secured credit card paid time years never changed real card dont finance cars trucks boats dont even think getting personal loan unless cash make secured loan oh way dont forget scandals fake account scandal fake accounts fired whistleblower reporting fraud paid million give job back list goes forever screw bank favor get local fcu helping local people businesses wonder much brimo made pandemic crazy banks make money business safeguard money something think,5
login,5
trasper bni saldo kurang nelom masok bni,1
ease checking account balance scheduling payments great rewards program,5
op,5
love fact fees able pay without consequences,5
mudah,3
kerentransaksi mudah,5
baguss,5
apliaksi buruk komplen putar,1
mantap,5
brimo mmbantu sgala transaksi blanja transfr,5
overall good,5
mudah main slot,5
brimo nya ganggu tidak bsa kirim uang gk bsa login,1
love brimo,5
mudah transaksinyamudah fitur,5
terima kasih bri,5
biasa banget jam malam susah transfer,1
tolol setan udah jam gin elor,1
gajelas error,2
apasih eror nya,3
lupa password username,4
saldo muat barusan,4
absolutely love brimo always let know activity im always point whats account always date get paid literally two days earlier co workers get paid friday im paid wednesday night hidden fees even monthly charges money safe account charged never switch brimo also link account accounts even investment accounts like stocks love brimo thank true word literally putting customers first brimo way,5
eror,3
loadding,1
mantap notifikasi teman refi oyon,5
adu brimo proses banget,3
kali maintenance,1
far great direct deposit switch quick easy things available like savings round save called round send put savings example spend get charged goes savings program perfect lot programs available havent gotten build credit nextim happy switched toughest part person face face ask questions customer service quick respond back thank brimodarleen b,5
simpel mudah urus,4
bayar mudah cepat,5
layan mantabb,5
beli pulsa proses udah aju masalah tahap proses seblumnya aman aman aja beli pulsa aplikasi upgrade proses,1
aplikasi keren terinopatif,5
sukses,5
parah susah buka data bnar ga buka gimana percya nabung bri kacau gitu aplikasi nya,1
pnya kendala brimo ganti hp hp log sempurna sdang kn hp sdh jual alhasil tidak bsa masuk hp solusi ny,2
muas,5
tdk login tarik bikin pusing,1
bintang sinar,5
mantap bro mobile,5
mantap cuy,5
alam transaksi mudah,5
terimakasih bantu,5
kode otp kirim via tidak mail waakun brimo blokir soalnyakalau tolong kode otp nya kirim gmail ata via wa aja bos,3
mudah mata yang kasih bintang karyawannya,1
puas cepat akurat,1
simple,4
lupa pin paswrood hilmi,1
suka bantu transaksi fitur mudah nasabah nya,5
mudah guna rumah,4
bantu mudah nyaman transaksi,5
mantap moga aman tingkat,5
aplikasi bagusakan sya bayar tunggak pinjam briguna tulis saldo bayar denda bayar tunggak pinjam briguna nominal nya,5
coba kali gagal upload poto solusi admin,5
mantaapsss,5
ok terimakashi,5
muas transaksi,5
bikin bayar mudah transfer balanja online,5
top banget,5
kecewa dana kunjung terima jam,1
pitur terima kasih bri layan,5
oke banget bantu,5
bantu transaksi,5
mantap kereenn,5
moga ribet susah utk skrang mantap,5
fee free overdraft spot instant transfers paid early mobile check deposit fee free atm credit builder many cant think right one complaint didnt find sooner,5
mudah bantu,5
bagus,5
tidak emang brimo best,5
duhh sumpah yaa ribet banget sistem bobrok alas akun brimo blokir arah buka blokir fitir lupa password ikut intruksi hasil nya sekian bnyk mbanking brimo jengkel hahah ewallet si hijau,1
bingung potong ngendap ny banget ribu,5
guna,5
lupppppppp,5
mudah operasi bantu bisnis tabung transaksi,5
bagus mantap,4
bags suka,5
terimakasi brimo mudah transaksi cek saldo guna,5
bagus,5
mudah bantu,5
punya tidak loginbingung,5
brimo alam kirim uang hebat ribet kirim butuh cepat hitung detik,5
mantap,5
aplikasi transaksi secepatcepatnya kendala,5
mantap,4
aplikasi mantap,5
download aplikasi aktif tidak login lagiaplikasi sampah pakai vertikasi wajah sandi,1
aplikasi bagus sayang akun brimo buka atur ulang pasword,2
apps bagus,5
bantu proses transaksi aman jaga,5
go get sum,5
bantu mudah,5
trima kasih brimo gampang melakukanbtransaksi,5
bantu transaksi bayar,5
gampang mudah transaksi,5
praktis cepat,5
udah unsarname nya bilang daftar,1
baik mudah urus,5
lapor uang bulan tampil hasil beda refresh,2
bantu tf cepat,5
isi formulir foto ktp ulang gagal gagal gagal tolong baik,1
joooos poko e,5
gilak banget guys,5
trimakasih,5
apk lancar cepet loading nya nemuin bugeror sistem apk sukses bank bri,5
ok,5
coba pake apk ngga kaya tetangga sisa saldo dikit aja embat pas buka apk nya lambat,5
aplikasih yang manfaat,5
developer tolong bantu kendala loginnya harap loginnya eror tabung bank brimo mudah sulit,1
mohon bantu buka slot kah,5
moga aplikasi brimo bagus ya depan suka pakai brimo kali maka puas layan terima kasih brimo,5
keren sihh,5
mudah transaksi perlu hari dlm butuh dadak,5
mudah dlm brtransaksi,5
mudah smua transaksi,5
muas bantu,5
bagusdan bantu,5
bagus mudah transaksi transfer orang,5
mantap pendaptaranya ga ribet,5
easy go,5
bantu bayar aja ngantri,5
mohon cerah nya tf briva proses ya min yang kirim proses ya min,5
alhamdulliah blm kendala apk,4
suppose receive new card days going days still havent received card called brimo way expedite new card wait another business days get card frustrating keep moving money someone western union money cost money great card explained person spoke phone something else done someone needs new card went amount days receive new one,5
terima kasih layan,5
pe,5
mudah praktis transaksi akun brimo,5
ampun udah donload kalimau buka rekening ganti bikin pasword susah ampun,1
bantu muas,5
kirim cepat lancar mkasih brimo,5
enak bwt transaksi,5
apk praktis,5
okey,5
mudah kelola uang,5
aplikasi pakai kluar aplikasi ya,2
potong notif wa sms email kesal nya udh potong notif kadang notifnya suka ga muncul aneh kalau potong nya ga via aja moga bahan evaluasi tks,1
ok mantapklo admin nya tiada,5
mudah,5
puas layan,5
makasih brimo,5
kereen,5
bri jaya,3
bagus bantu transaksi,5
kendala,5
cepat aman efisien,5
modern transaksi,5
nyaman,5
daftar mudah banget,5
ok banget,5
thanks,5
nicecukup bintang bicara,4
bantu nasabah,5
praktis bisnis,5
bagus singkat,5
transaksi cepat,5
mudah,5
gampang pake brimo,5
isi kode reffeal tau kode bri ribet ngga kaya mandiri gampang proses,2
brimo ok bangat,5
tf bri sampe sekarang msh dlm proses nyopet bri,5
ok fix,5
keren,1
lot,2
verivikasi wajah,2
one best online banking app,5
cepat praktis trimakasih brimo jaya,5
senang pakai brimo,5
bagus mudah,5
aplikasi tolol tidak login,1
nyelesaikan tahap slalu salah kode ladcc,3
lg eror kah ni brimogk login,4
layan muas,5
terima kasih bri brimo baik percaya,5
mudah transaksi simple tidak atm banyak mudah transaksi,5
oklah,5
milik aplikasi transaksi jd mudah rumah,5
ok ok,5
rangin bintang nya ganggu bayar qris dana potong notif log aplikasisering error pas login tolong baik,3
mantap,2
mudah transaksi bayar mana,5
transaksi mudah brimo,5
bagus apk cepat responnya,5
bagus,5
bantu bri mo sukses bri mo,5
goof,5
brimo mantap,5
muda transaksi aplikasih brimo,5
aplikasi bagus simpel mudah,5
ive brimo years never disappoint amazing banking app,5
transaksi ribetsukses utk brimo,5
dn cepat berteransaksi,5
terima kasih,5
bagus,5
bagus cepat,5
bikin atm hp nya pas daftar brimo hp ya jd daftar koq muncul nomer,1
p banget,5
pokok top dehh,5
aman mudah,5
ribet banget pake brimosinyal bar aja udah tidak akses sekalitingkatin kuakitas aplikasinyapadahal aplikasi jalan aja,2
pokok best,5
login nomor sesuai pdhl kartu ga mana,1
layan ramah,5
bagus apk nya mudah ga ribet,5
aman nyaman,5
bagus mudah erti terimakasih developer,5
biaya notif hari rb notif notif tawar,2
nasabah aktif bri yang puas mudah akses nyaman layan,5
puas bintang yang bicara,5
pakai brimo mudah mudahh habis saldo maksud,5
bagus sih,5
lancar bantu,5
alhamdulillahmantaaaappp,5
bantu transaksi good tolong tambah transaksi paket data,5
aplikasi koq menu setor tarik tunai ya hp yang,1
error update buka stuck si splashscreen,1
susah registrasi jaring muter muter teruspadahal jaring bagussudah isi sesuai yang arah susah masuk langkah,1
ok mantap masa bro,5
bagu cepat,5
bantu mudah simple trnsaksi cepat,5
sukses bantu,5
tabung bantu cs nya ramah terima kasih,5
muas bantu,5
senang sukses brimo,5
kereen,5
kecewa apk transaksi banget proses nya sampay,1
moga amanah,5
kemarin ndondott salah ngga bisaaku telpon nya ngga aktif trus hubung,5
apkny bgus tpi pas daftar nyangkut kode opsionaljdi susah ank skolh yang gk ngerti,1
tampil,5
muas moga depan muas,5
mantap nih,5
senang mengunakan brimo,5
ribet drama,5
great app easy use brimo great rewards would recommend,5
urus mudah,5
mudah fitur lumayan lengkap terimakasih brimo,5
mudah transfer bayar,5
aplikasi kelas internasional bnyak kendala,1
mudah fiturnya lengkap,5
bantu aktivitas ku,5
dr td malam tidak loginpdhl pasword username sesuai,2
keluarga percayaa bri namunbeberapa alami tipu lapor polisi bri tp proses harikenapa nga langsung proses aja maxsimal lahh bintang bintang uang,1
masalh tranksaksi gwa proses peebankan payah,1
bantu,5
mudah nya transaksi,5
urus transfer mudah aman,5
kadang eror,4
bri mo layan nya bagus banget membayarlistri belanja,5
love app love able move money around save see much thank,5
error,5
apasih gagal pindah android ga jelasss,1
berkat aplikasi mudah transaksi beli barang aplikasi belanja,5
ko jaring bagus login brimo yaa,5
serverlu ampasssssssssss,1
lengkap mudah unutuk ber transaksi terimakasih brimo,5
kemarin error,1
koneksi lancar tidak login notifnya maaf ganggu teknis kalau pake wifi nyambung gimana min,2
oke,4
cepat mudah,4
bagus sngat mmbntu,4
sgt bantu utk tf,5
mantap,5
top poko eee,5
mudah bawa mana manfaat,5
mudah paha,5
manfaat praktis hemat best,5
responsif cepat utk aman tingkat,5
transaksi praktis aman,5
bantu aktivitas seharihari,5
mudah urus,5
hamburger cheeseburger big mac whopper,5
aplikasi brimo mudah cepat transaksi terima kasih brimo,5
absolutly love banking brimo features offerd,5
bingung,4
saran mutasi langsung jadi rekening koran biar ribet download rekening koran,5
metode tranfer dang trangsaksi,5
love brimo switched bank america year ago ridiculous fees havent regretted decision one second app works great ever need call everyone nice helpful one suggestion app sometimes cant tell something purchased based transaction description itd cool could make little note dont try remember later also sole proprietorship really big enough yet get separate bank account id love able organize transactions different categories example personal purchases business expense tax deductible,5
bagus aman,5
great easy app,5
suka aplikasi baik bantu,5
one best apps available,5
apk brimo skrang koneksi internet ya wifi data internet jdi susah susah transaksi mohon bantu,5
en la aplicacin encuentras decenas de opciones sin necesidad de tener que comunicarse personalmente ahorras mucho tiempo fcil de utilizar entender,5
layan yang bantu kerja online kayak terimakasih brimo,5
ga top danaselalu aja apk brimo,1
atur bank bri sekrang kalau yang kena musibah ktp hilang dsbg sulit layan call centre nya buruk layan cs buruk senang beda dlu mnggunakan bank mhn maaf lelet,1
mudah bayar bagus banget simpel buat,5
ganti email brimo,5
saldo kosong gatau knapa,4
bagus,4
login aja ribet banget nomor hp sesuai nomor hp pas,1
saldo tarik uang tidak,1
great see charges real time makes paying bill super easy,5
terimakasih brimo layan mudah puas,5
pulih brimo yang blokir,4
terima kasih aplikasi brimo sdah pasu rekening,5
mambantu pakai aplikasi brimo,5
aman,4
bantu mudah transaksi thx brimo,5
mantul bri,5
susah login,5
tidak aktifasi qris yah langsung bank suruh aju pinjam dgn minimalapa peraturanya,5
bantu,5
respon cepat jaring stabil,5
since started wont leave,5
pokok keren,5
simple bantu,5
knp tidak daftar ya kode rafael dah cok sengaja kasi bintang biar komen gua,5
puasmemudahkan transaksi,5
notifikasi pesan brimo bikin saldo potong anj cuman perak lamakelamaan notifikasi numpuk sial emg ga babi,1
bantu jual online sayadengan brimo transaksi jual beli lancarthank bri,5
bagus simpel,5
knpa aplikasi brimo ku buka,5
baguuus,5
tidak tau notifikasi ap saldo kurang,3
bantu cepat prosesy,5
cepat akurat,5
pindah akun hp yang login smua sesuai hp aktif ttp mohon baik aplikasi nya doank,5
mantap nih brimo,5
sip lhh,5
qris bri masuk rekening ribet gk x masukpagi sorekadang pending,4
nice recommend alat transaksi,5
alam yang tarik,5
opsi transaksi muncul halaman akun untk transfer briva brizi ewallet,1
oke banget,5
enak,5
chinese application language,5
ko pindah hp kantor cabang hapus data yaapa ga bs sulit update bagus nyusahin,1
brimo mantap,5
baguss dukung skali,5
sngat bantu cepat mudah trima kasih brimo,5
error,1
mudah transaksi,5
bagus mudah transaksi,5
alhamdulillah transfer dana family mudah,5
transaksi nyala,5
brimo bri aplikasi hebat dasar nilai dorong desain degan aplikasi brimo bri inti aplikasi brimo bri tuju membagun penting masyarakat transaksi bisnis nya,5
proses cepat mudah,5
mudah transaksi uang,5
kesini siip jooss sukses bri,5
aplikasi gajelas,1
mohon aplikasi diupdate cantum saldo nominal tahan terimakasih,5
best thanks brimo take easy,5
praktis mudah transaksi kece riwayat transaksi,5
hp aplikasi brimo tidak pakai ya,3
mudah transaksi cek saldo bantu,4
untung brimo,5
mantp,5
mudah berkat brimo,5
bantu terima kasih,5
easy use,5
bantu yang rekening,5
mantaaaapp bantu sgala,5
mantap pokok nya,5
kasih bintang,5
layan nya muas,5
good job brimo,5
transfer cepat loading,5
brimo eror,3
ok mantap cepat percaya,5
bantu transaksi bisnis kamisukses brimo,5
ganggu bintang,5
mudah transaksi,5
bantu transfer nya cepat,5
baguu mudah,5
mantap mudah,4
mudah simpel brimo tp berat pas ganti perangkat login data hp yang daftar nomor hp yang daftar dipake istri rumah luar kota login brimo ganti perangkat,5
puas cepat tranfer,5
daftar gagal mulu taee,3
mantuk,5
love brimo best,5
bagus transfer terima uang makasih brimo,5
lumayan,4
gambang praktis brimo moga depan,5
terimakasih kantor brimo aplikasi iniaplikasi bantu transaksi,5
cepat,5
terima kasih layan,5
min pas daftar bikin akun ga tulis kode error mulu,2
saldo hilang transaksi apa juta hilang,1
mantap transfer praktis,5
aplikasi brimo bagus,5
bagis,5
bantu dgn apk gk repot tatang kantor cabang buka rekening dn dgn apk bantu trimakasih apk brimo,5
mantapp bantu,5
mantap bantu tuk tf keluarga desak biar malam tf atm bank terima kasih brimo,5
bakayaru komayaru,5
sinyal yang stabil lancar,4
lh ni link masuk kirim sms tpi sms nya nggk masuk aplikasi lawak,1
buka brimo ga jaring buruk coba buka youtube kualitas fhd ngebut ga kendala,1
good job,5
apk biruk kalah layan swasta,1
andal login butuh jaring review aplikasi jaring aplikasi tombol tiket lapor tisak bantu bot sabrina sangatsangat kecewa,1
ganggu,1
eror,1
kecewa gabisa login buka apk lancar aj,1
brimo bobrokk tqee kbnayakn potong yang jalss,1
buka alas jaring nonton tiktok youtube komentar,1
halloo min maintenance ya pas log muncul jaring bagus padhal jaring bagus loh,1
lumayan kembang,3
lucu bri isi saldo masuk tp transaksi tulis rekening aktif aneh klo gk aktif dana masuk,1
payah tetangga tidak troble ganggu,1
aplikasi yang praktis bantu,5
brimo ganggu ya jadu gabisa akses transfer ewallet koneksi buruk sinyal kuota atm,3
satset,5
update susah koneksi nya,1
tolong baik apk nya kadang bilang koneksi jaring buruk jaring bagus pakai wifi,3
sangaaaat baguss,5
puas playanan dimna slu saat butuh bri slu hati,5
potong,3
mudah urus bisnis,5
error ya brimo,5
bagus cepat,4
absolutely glad ive zero problems account purchases everything initial setup getting direct deposit running biweekly paycheck everything smooth sailing hope continues stay way ive brimo account weeks mentioned im glad gave shot hope continue next decades im interested setting savings account well credit card offer one last least like brimo claims tv commercials online marketing got paid day early bravo brimo,5
love,5
bagus percaya moga tingkat aman,5
mudah bantu,5
menu hapus riwayat transfer,5
fitur estatement pilih tanggal buku ketimbang bulan,5
bantu mudah pembayaransangat bagus aplikasi brimoterimakasih,5
layan nya komplit bagus,5
daftar ribet,1
knp bri ku blok,1
sngat bantu,5
bri baik rakyat indonesia,5
kali pakai bagus dn bantu transaksi jdi mudah,5
bantu transaksi cepat masuk transaksi,5
guna mudah manfaat,5
tidak login akun tulis nomer handphone sesuai,4
mudah guna,3
susah masuk ya update mlah gk enak,1
bank yang baik negeri tingkat pelayananpelayanan yang aplikasi brimo,5
bagus cepat,5
sngt manfaat mudah cepat,5
bayar cepat boskuh,5
bantu butuh,5
brimo nggak transfer qris dll masak nggk solusi,1
lancar mudah,5
mudah bantu,5
aplikasi bagus banget suka banget,5
ya tidak login app nya,5
muas,5
bantu terimakasih,5
lancar aman cepat,5
ok mudah pakai,5
mantap cung ganggu tlg baik terima kasih,5
mantaaab,5
bantu,5
lapor uang setor tunai masuk saldo tidak ganti uang nyapdahal nominal nya cuman parah bank bri nya,1
mudah nya,5
slalu baik rakyat,5
mudah transaksi,5
muas mudah kerja,5
kak hari brimo ganggu mohon baik transaksi selesai tunggu fast responnya kak,3
brimo buka,4
mohon bantuanya boskenapa brimo loginpadahal kemarin normal,4
aplikasi nya ga login mohon jelas,2
maaf kendala sistem gitu aja era digital brimo maala bikin tambaah susah,1
tidak bsa maauk,3
jd mudah,4
brimo layan baik,5
mudah,3
donlot tp suruh masuk kode reff salah melulu,2
ganguan gkbisa login,2
bantu,5
sy tdk upload foto ktp knp ya,5
kendala brimo hrinigak buka,3
banget trouble ni aplikasi,1
minus bayar regis kuliah pas transfer gagal data yang masuk udah kali coba udah potong bulan mahal ga transaksi pas malam suka error tolong baik yah,1
manfaat banget smua orang moga,5
bagus memuaskn,5
easy use,5
brimo masalah kah kak login yah,1
gampang banget pakenya,5
transaksi mudah,5
memper mudah transaksi,5
bagus bantu,5
terima kasih mudah transaksi jg,5
ok,5
aplikasi nya jelek tidak login pas pencet login baca mohon maaf proses transaksi,1
trlalu baharu,1
kendala ya,5
mantap manfaat brimo semangatmo,5
ijin brimo transaksi mohon solusi,5
operasi,2
slalu lancar kendala,5
tolong hp aktip adain fitur kirim kode verifikasi nya sms doang,1
top,5
cepat responya sy suka,5
tanggal september aplikasi brimo tidak pakai tolong,2
bantu,5
muas,5
maaf gk masuk hp sudh,2
mantap,5
nampaknya ganggu hubung brimo sya akses cmn brimo moga cepat baik,3
brimo baik jarang kendala tim developer nya dengar keluh user mantap tim developer,5
aplikasi tdk masuk login,1
brimo kendala,5
brimo ganguan kah,3
erorr,4
transaksi gga ya min buka gga,3
login gabisa gambar robot yang blg mohon maaf blum transaksi kali brimo masalah ya yang jaring buka aplikasi lancar qris aplikasi lola detik ngefreeze bagi scan qr kali gabisa login nih,1
brimo isdebes,5
mudah bgus suka pake brimo trimaksih bbrimo,5
berkat brimo kirim uang ribet,5
good apk,5
bantu,5
keren layan,5
bagus app responsif,5
mmbantutpi sekarang sdh sring bnyak ptngan,5
alhamdulilah pakai brimo transaksi lancar,5
mantap aplikasi ny,5
transaksi mudah,5
bunyi suara notifikasi brimo hp hp orang uang masuk notifikasi bunyi suara brimo aplikasi upgrade timbul bunyi suara brimo uang masuk notifikasi,1
ganggu aja trussss,1
sanggat guna,5
thanks bantu,5
mudah guna harap berhatihati,5
ganggu gabisa masuk aplikasi,1
kak brimo akses,1
aplikasi daftar aja loding nya sampe jam aja kagak masuk sinyal loding trs aplikasi udh eror rusak dah masuk data udh yang aja udh ko ga,1
transaksi mudah,5
brimo akses,5
tdak buka,1
mudah transaksi,5
bagus,4
goodd jooob,5
errornya bikin transaksi,2
mudah,5
mudah transaksi,5
aplikasi brimo masalah login transaksi,2
alhamdulillah berkat brimo mudah transaksi butuh didik hidup hibur rekomended tementemen tidak ribet transaksi,5
baik,5
okeatmnya habis tidak kirim dari cabang pas bikin atmkata satpam suruh bikin brimo ajatpi gk papa kaya atm,5
trouble daftar login transaksi,1
sangatembatu,4
mudah bantu,5
mantaf suka mudah nya,5
ya semalem apk brimo tulis mohon maaf proses transaksi ga log,3
aplikasi brimo buka mohon bantu,5
brimo error,5
aman,5
sinyal buruk sentani jayapura tidak buka,2
fitur lengkap mudah best,5
mudah cpt praktis,5
password sdh bener msh salahudah kali ganti ttp aja tidak tulis merah salah sdh ganti password kali nunggu otp smsgmail tetep aja kesalahanaku main dr bank costumer sambang kantor bri buka mudah pusing,4
aplikasih trbaik yng lengkap dngan perlu ekonomi,5
mudah nyaman aman,5
mudahok pokok,5
bagus nyaman terimakasih aplikasi tunggu kembang,5
bantu bu,5
bri tembilahan juara layan,5
update susah ubah rekening finansial verfikasi wajah nya eror,3
bantu butuh tf dadak,5
ganggu gabisa login,1
woee knp lgi tidak buka,1
gimna dah dftar gabisa grgr kode referral doang,3
muas transaksi mana kemudaian mudah transaksi mudah transfer situasi,5
bagus bangat error,1
mudah aplikasi,5
apk ribet kali verifikasi udah masukin username pasportmasukin pinsetelah sms,1
aplikasi bantu mudah transaksi terimakasih,5
aplikasi mudah,5
ive brimo two years ive never stressed life served months afghanistan use app pay mortgage wells doesnt single branch maine blows mind cant walk bank holds note house pay back app take pics deposits checks app wont accept check theres always issue call see sides check cant ride system accept check im forced mail check theres two weeks wondering got lost ever convenient dont branch state issue happens,5
transaksi aplikasi brimo mudah balik telapak tangan,5
brimo best pokok bantu banget moga aja dapet bonus brimo,5
bgus,4
mudahn aman,5
tolong hitung pasu keluar baik banget ubah ubah hitung tidak akurat,4
bantu kerja muda,4
log kali tidak username password udah bener,1
ngga ya brimo kmren malem tolong info bantu,1
ya tidak masuk,3
senang,5
pokok bagus tolong,5
ganggu login,1
sukses,5
maksud nya brimo beli pulsa tpi kaga masuk sdh potong lgi aplikasi tdk amanah,1
bantu bayar tagih,5
love brimo changed banking,5
brimo error,2
sial pas pepet butuh transakti cepat ganguan aplikasi gmna rugi bnyak sial,1
kerennn,5
daftar pake kode refferal,1
nda install ulang bri mo nya bri nya erroraplikasi bri mo nya sempurna,1
bantu transaksi mudah cepat,5
bagus aplikasi,5
bintang karna brimonya buka,4
jossssssssss,5
tlg dipermudahsusah login aplikasi sekarangbentar kendala,4
aplikasi tidak buka sistem eror mulu aneh,2
aplikasi manfaat,5
transfer sllu gk kendala sistem tolong brimo baik,3
sih apl udah akun tidak masuk sih bos bantu kerja tunggu aplnya kaya tunggu presiden aja,1
maaf maaf ni ya kendala mobile fisik kaya atm nih gimana rakyat indonesia percaya produk indonesia klo treatment nya kaya gin kaya skarang nih kendala sistem jam sibuk org butuh transaksi sendat sendat sistem eror nya bumn tolong upaya pelihara fasilitas publik nya pro ga heran yang pilih swasta klo service nya kaya gin,1
knp pas transaksi sistem masalah,1
maaf tnya nih ya saldo ku kurang cek riwayat tari ga tolong brimo jelasin knpa saldo nya kurang tidak kalau terus ya konsumen rugi mohon maaf ya,4
ganggu ajah brimo nih hadeuh ngirim wa yang bls nya bot,1
praktis tidak ribet bayar cicil dll,5
nonaktif aja fitur sms minggu makan saldo rp woyyyyyyy rugi untung,1
loading,1
burukkk erorrr baik beda belah,1
eror dari smalem tolong baik cepat,2
maintenance,1
update yay make payment button back front center thanks update used love app see original review update makes app confusing theyve hidden make payment option typical bank city trying force users use autopay arent enough options want pay bill weekly since use card everything dont want huge bill end month want pay balance needed want pay balance button front center easily make payment would bank make difficult make payment hmmmm wonder duh stupid keep brimo youll losing least one customer original reviewflawlesstruly great app use brimo card mainly app easy use user friendly great ui great design thanks,5
alhamdulillah transaksi mudah lancar,5
muas,5
aplikasi perban bagus mudah kelola uang belanja malam brimo tidak buka transfer moga baik terimakasih,5
potong tidak,4
mudah,5
mantap,5
pokok joos,5
mantap mudah,5
cepat transaksiaman,5
brimo completely change view banking went big companys like chase wells fargo left ready banking old fashion way put mattress fortunately found home gave whole new view banking like zero fees blessing honestly time bank fees already bills pay necessities buy transfer money easy checkings savings send money easy card works everywhere beautiful really speaking savings account set take percentage spend transaction put savings account also limits transfers savings account help save money simply think app amazing tried bank always surprising fees would definitely switch brimo,5
tani,5
lancarkedepenya moga,5
bantu terimakasing brimo,5
udah daftar kasih b ya,4
ok ok gogle,5
kartu kredit cobrand sambungin brimo sumber dana qris atur kartu kyk kartu debit biar transaksi nya aman bricreditcard mobile tidak aman nya,1
ajar bisamudah,5
bantu puas bri mo,5
aplikasi moga lancar,4
money looks like us bigger,5
bingung pakainyatapi kali transaksi hasil muas,5
mudah cepat banget transaksi brimo brimo mantap,5
live brimo really understand clients people,5
muas mudah kirim terima dana aman,5
tolong brimo buka,5
gampang nyaman mudah transaksi tinggal klak klik saldo,5
hitheres option available boa app one edit transaction name ones reference really helps end year filling taxessecondly transaction whats remaining amount balance account wf app tell one remains guessing calculate ones remaining balance recently guys started kind remaining balance reporting yet satisfactory methe balance clearly evident every transaction daily basisthanks lot giving chance speak thanks shahid,5
ngasih bintang donlod,3
bayar via qris saldo ckuppdhl saldo ckupudh cht cs suruh baru udh baru sma aja mohon baik,2
tolong kirakira ngasih notifikasi ga pentingpenting malam malam ngeganggu orang tidur,1
seldom reviews feel need time app dont understand whats wrong app used face id access app suddenly gone tried set lot times unfortunately every time comes step verification always stop send message something went wrong try later dont understand wrong app updated hope customer support assist one frustrating,5
aplikasi jelek ofline jam malam,1
lupa username bos,5
keren mantap,5
error gabisa log udah update,1
trobelnya lamalama,1
maintenance bagett stresss,1
brimo malam ganggu,5
brimo jam stngh eror,1
brimo ganggu,3
ga buka brimo,2
knp bri ga bisalakukan transaksi,2
kesana sono aplikasi banget ganggu,1
gngguan gk login,5
ganguan ngga,1
transaksi kenal ganggu malam,1
apdet ko masuk susah ya gimana ni kerjasamanya buka apdet memper mudah transaksi ko ngga login,2
lumayan puas,4
ganggu,5
tidak login,3
banyak ganggu,1
brimo malam gabisa akses,1
ganggu malamnyaa lamaa butuh cepat dn tngah malam mbanking bri tidak pakee parahh,1
maintenanance banget bikin rugi transaksibrimolloorrrr,1
ni selasa sept aplikasi brimo ga buka ganggu ya,5
gara salah sandi tidak buka,5
kalau malem ganggu brimo,1
maintenance urgent lho,1
brimo malam error butuh banget kayak,1
sampe jam ganggu nya yah,4
tolong mudah,5
ya brimo maintenance nya sulit kalau perlu dadak gin,1
switch brimo netspend say much happier charges going love round best ideas ever unlike netspend walmart card ableist use cash app use instant cart things cant dowith netspend also brimo card chip mention spot need little help overdraw account deciding cover wont start earn make happen ask make tip continue help option tip want mandatory best choice,5
klo malam ganggu transaksi nunggu normal pdhl buru biasa ga hilang,2
bagus sih tp maintenance tambah kalau transaksi suka ganggu,2
jujur aplikasi udah bagus cuman udah malam apk udh susah buka kadang jaring bagus bilang koneksi internet bagustolong tingkat kualitas malam apk,4
eror aplikasi busuk,5
log brimo,1
ok bget,5
malas kadang suka ganggu,4
woy knp brimo jlk banget,1
subuh ganggu,5
susah login trus hadeuh saldo dipake susah nyesel gua dimasukin brimo,2
mudah,5
tdk transaksi,3
apk uang brimo,1
banget ganggu orang mo beli makan jam sampe jam kaga tolong deh kalau baik kasih info email gimanaa,1
bank ganggu baik,1
error,2
kepala brimo masalah tidak login alas nya mohon maff proses transaksi,2
brimo buka,2
benerin apas apk gajelas butuh duit banget gabisa buka suruh nunggu lot banget bikin kesel orang gunain duit sulit,4
brimo buka ya,5
hp hilang rua nomor updet provider gk gnti nomor ehh akun brimo gk bsa buka lg gimana cerita ya email nomor hp nomor rekening ktp akun gk bsa buka,1
transaksi jam malam buruk,1
bri mo malam ganggu yamau login tulis tidak mempeoses transaksi,1
gagal masuk,5
masuk gk,5
bos aplikasi brimo dadak tidak buka dah jam tidak buka tolong respon ya,5
ganggu mulu nih aplikasi,1
trobelmau transaksi tidak,1
parah bener orang transaksi ga maintenance,1
knpa ni brimo suka eror si,1
referensi tabung,5
gk login ya,3
bri mo ganggu error,4
ganggu jam,1
tidak login ya,5
login,2
ganggu bank nya ganggu kecewa bank,1
lumayan praktis,5
terimakasih brimo mudah guna transaksi,5
daftar siang bri cabang eror aja,1
brimo ganggu tolong respon nya,5
offline bikin rugi customer,1
brimo tidak masuk,5
brimo ganggu ya,2
aplikasi nya bagus banget kartu susah transaksi tarik,5
sangattt muas kebnyakan line nyaa kdgn butuh ngeselin nya aplikasi inj,1
udah maintance banget udah gitu potong gede bulan,1
ganggu brimo,2
nggk login jam malam,1
suka eror kalau buka,1
