content,score,sentiment_score,sentiment
slalu lancar kendala,5,-4,negative
tolong hp aktip adain fitur kirim kode verifikasi nya sms doang,1,-8,negative
top,5,10,positive
cepat responya sy suka,5,-8,negative
tanggal september aplikasi brimo tidak pakai tolong,2,-30,negative
bantu,5,-8,negative
muas,5,10,positive
maaf gk masuk hp sudh,2,-12,negative
mantap,5,10,positive
nampaknya ganggu hubung brimo sya akses cmn brimo moga cepat baik,3,-16,negative
brimo baik jarang kendala tim developer nya dengar keluh user mantap tim developer,5,-4,negative
aplikasi tdk masuk login,1,-14,negative
brimo kendala,5,0,neutral
brimo ganguan kah,3,0,neutral
erorr,4,0,neutral
transaksi gga ya min buka gga,3,10,positive
login gabisa gambar robot yang blg mohon maaf blum transaksi kali brimo masalah ya yang jaring buka aplikasi lancar qris aplikasi lola detik ngefreeze bagi scan qr kali gabisa login nih,1,-56,negative
brimo isdebes,5,0,neutral
mudah bgus suka pake brimo trimaksih bbrimo,5,-4,negative
berkat brimo kirim uang ribet,5,-2,negative
good apk,5,10,positive
bantu,5,-8,negative
keren layan,5,-4,negative
bagus app responsif,5,-8,negative
mmbantutpi sekarang sdh sring bnyak ptngan,5,0,neutral
alhamdulilah pakai brimo transaksi lancar,5,10,positive
mantap aplikasi ny,5,2,positive
transaksi mudah,5,6,positive
bunyi suara notifikasi brimo hp hp orang uang masuk notifikasi bunyi suara brimo aplikasi upgrade timbul bunyi suara brimo uang masuk notifikasi,1,-38,negative
ganggu aja trussss,1,-6,negative
sanggat guna,5,2,positive
thanks bantu,5,-2,negative
mudah guna harap berhatihati,5,-6,negative
ganggu gabisa masuk aplikasi,1,-22,negative
kak brimo akses,1,4,positive
aplikasi daftar aja loding nya sampe jam aja kagak masuk sinyal loding trs aplikasi udh eror rusak dah masuk data udh yang aja udh ko ga,1,-72,negative
transaksi mudah,5,6,positive
brimo akses,5,4,positive
tdak buka,1,-6,negative
mudah transaksi,5,6,positive
bagus,4,-8,negative
goodd jooob,5,0,neutral
errornya bikin transaksi,2,8,positive
mudah,5,-2,negative
mudah transaksi,5,6,positive
aplikasi brimo masalah login transaksi,2,-8,negative
alhamdulillah berkat brimo mudah transaksi butuh didik hidup hibur rekomended tementemen tidak ribet transaksi,5,-16,negative
baik,5,-2,negative
okeatmnya habis tidak kirim dari cabang pas bikin atmkata satpam suruh bikin brimo ajatpi gk papa kaya atm,5,-20,negative
trouble daftar login transaksi,1,2,positive
sangatembatu,4,0,neutral
mudah bantu,5,-10,negative
mantaf suka mudah nya,5,-4,negative
ya semalem apk brimo tulis mohon maaf proses transaksi ga log,3,8,positive
aplikasi brimo buka mohon bantu,5,-26,negative
brimo error,5,-10,negative
aman,5,0,neutral
sinyal buruk sentani jayapura tidak buka,2,-26,negative
fitur lengkap mudah best,5,-8,negative
mudah cpt praktis,5,6,positive
password sdh bener msh salahudah kali ganti ttp aja tidak tulis merah salah sdh ganti password kali nunggu otp smsgmail tetep aja kesalahanaku main dr bank costumer sambang kantor bri buka mudah pusing,4,-48,negative
aplikasih trbaik yng lengkap dngan perlu ekonomi,5,-2,negative
mudah nyaman aman,5,6,positive
mudahok pokok,5,-6,negative
bagus nyaman terimakasih aplikasi tunggu kembang,5,4,positive
bantu bu,5,-8,negative
bri tembilahan juara layan,5,-4,negative
update susah ubah rekening finansial verfikasi wajah nya eror,3,-14,negative
bantu butuh tf dadak,5,-12,negative
ganggu gabisa login,1,-8,negative
woee knp lgi tidak buka,1,-16,negative
gimna dah dftar gabisa grgr kode referral doang,3,-14,negative
muas transaksi mana kemudaian mudah transaksi mudah transfer situasi,5,22,positive
bagus bangat error,1,-18,negative
mudah aplikasi,5,-10,negative
apk ribet kali verifikasi udah masukin username pasportmasukin pinsetelah sms,1,-8,negative
aplikasi bantu mudah transaksi terimakasih,5,0,neutral
aplikasi mudah,5,-10,negative
ive brimo two years ive never stressed life served months afghanistan use app pay mortgage wells doesnt single branch maine blows mind cant walk bank holds note house pay back app take pics deposits checks app wont accept check theres always issue call see sides check cant ride system accept check im forced mail check theres two weeks wondering got lost ever convenient dont branch state issue happens,5,-2,negative
transaksi aplikasi brimo mudah balik telapak tangan,5,-6,negative
brimo best pokok bantu banget moga aja dapet bonus brimo,5,-10,negative
bgus,4,0,neutral
mudahn aman,5,0,neutral
tolong hitung pasu keluar baik banget ubah ubah hitung tidak akurat,4,-16,negative
bantu kerja muda,4,-8,negative
log kali tidak username password udah bener,1,-12,negative
ngga ya brimo kmren malem tolong info bantu,1,-16,negative
ya tidak masuk,3,-8,negative
senang,5,-8,negative
pokok bagus tolong,5,-18,negative
ganggu login,1,-8,negative
sukses,5,6,positive
maksud nya brimo beli pulsa tpi kaga masuk sdh potong lgi aplikasi tdk amanah,1,-22,negative
bantu bayar tagih,5,-20,negative
love brimo changed banking,5,-6,negative
brimo error,2,-10,negative
sial pas pepet butuh transakti cepat ganguan aplikasi gmna rugi bnyak sial,1,-58,negative
kerennn,5,0,neutral
daftar pake kode refferal,1,-12,negative
nda install ulang bri mo nya bri nya erroraplikasi bri mo nya sempurna,1,-6,negative
bantu transaksi mudah cepat,5,-8,negative
bagus aplikasi,5,-16,negative
bintang karna brimonya buka,4,-6,negative
jossssssssss,5,0,neutral
tlg dipermudahsusah login aplikasi sekarangbentar kendala,4,-2,negative
aplikasi tidak buka sistem eror mulu aneh,2,-50,negative
aplikasi manfaat,5,2,positive
transfer sllu gk kendala sistem tolong brimo baik,3,-14,negative
sih apl udah akun tidak masuk sih bos bantu kerja tunggu aplnya kaya tunggu presiden aja,1,-18,negative
maaf maaf ni ya kendala mobile fisik kaya atm nih gimana rakyat indonesia percaya produk indonesia klo treatment nya kaya gin kaya skarang nih kendala sistem jam sibuk org butuh transaksi sendat sendat sistem eror nya bumn tolong upaya pelihara fasilitas publik nya pro ga heran yang pilih swasta klo service nya kaya gin,1,-76,negative
knp pas transaksi sistem masalah,1,-2,negative
maaf tnya nih ya saldo ku kurang cek riwayat tari ga tolong brimo jelasin knpa saldo nya kurang tidak kalau terus ya konsumen rugi mohon maaf ya,4,-28,negative
ganggu ajah brimo nih hadeuh ngirim wa yang bls nya bot,1,-22,negative
praktis tidak ribet bayar cicil dll,5,-16,negative
nonaktif aja fitur sms minggu makan saldo rp woyyyyyyy rugi untung,1,-8,negative
loading,1,0,neutral
burukkk erorrr baik beda belah,1,-16,negative
eror dari smalem tolong baik cepat,2,-26,negative
maintenance,1,0,neutral
update yay make payment button back front center thanks update used love app see original review update makes app confusing theyve hidden make payment option typical bank city trying force users use autopay arent enough options want pay bill weekly since use card everything dont want huge bill end month want pay balance needed want pay balance button front center easily make payment would bank make difficult make payment hmmmm wonder duh stupid keep brimo youll losing least one customer original reviewflawlesstruly great app use brimo card mainly app easy use user friendly great ui great design thanks,5,16,positive
alhamdulillah transaksi mudah lancar,5,12,positive
muas,5,10,positive
aplikasi perban bagus mudah kelola uang belanja malam brimo tidak buka transfer moga baik terimakasih,5,-38,negative
potong tidak,4,-14,negative
mudah,5,-2,negative
mantap,5,10,positive
pokok joos,5,-6,negative
mantap mudah,5,8,positive
cepat transaksiaman,5,-6,negative
brimo completely change view banking went big companys like chase wells fargo left ready banking old fashion way put mattress fortunately found home gave whole new view banking like zero fees blessing honestly time bank fees already bills pay necessities buy transfer money easy checkings savings send money easy card works everywhere beautiful really speaking savings account set take percentage spend transaction put savings account also limits transfers savings account help save money simply think app amazing tried bank always surprising fees would definitely switch brimo,5,0,neutral
tani,5,0,neutral
lancarkedepenya moga,5,2,positive
bantu terimakasing brimo,5,-8,negative
udah daftar kasih b ya,4,0,neutral
ok ok gogle,5,16,positive
kartu kredit cobrand sambungin brimo sumber dana qris atur kartu kyk kartu debit biar transaksi nya aman bricreditcard mobile tidak aman nya,1,-8,negative
ajar bisamudah,5,-6,negative
bantu puas bri mo,5,-2,negative
aplikasi moga lancar,4,-10,negative
money looks like us bigger,5,0,neutral
bingung pakainyatapi kali transaksi hasil muas,5,24,positive
mudah cepat banget transaksi brimo brimo mantap,5,12,positive
live brimo really understand clients people,5,6,positive
muas mudah kirim terima dana aman,5,24,positive
tolong brimo buka,5,-10,negative
gampang nyaman mudah transaksi tinggal klak klik saldo,5,6,positive
hitheres option available boa app one edit transaction name ones reference really helps end year filling taxessecondly transaction whats remaining amount balance account wf app tell one remains guessing calculate ones remaining balance recently guys started kind remaining balance reporting yet satisfactory methe balance clearly evident every transaction daily basisthanks lot giving chance speak thanks shahid,5,-2,negative
ngasih bintang donlod,3,-4,negative
bayar via qris saldo ckuppdhl saldo ckupudh cht cs suruh baru udh baru sma aja mohon baik,2,-6,negative
tolong kirakira ngasih notifikasi ga pentingpenting malam malam ngeganggu orang tidur,1,-18,negative
seldom reviews feel need time app dont understand whats wrong app used face id access app suddenly gone tried set lot times unfortunately every time comes step verification always stop send message something went wrong try later dont understand wrong app updated hope customer support assist one frustrating,5,-12,negative
aplikasi jelek ofline jam malam,1,-20,negative
lupa username bos,5,0,neutral
keren mantap,5,10,positive
error gabisa log udah update,1,-10,negative
trobelnya lamalama,1,0,neutral
maintenance bagett stresss,1,0,neutral
brimo malam ganggu,5,-10,negative
brimo jam stngh eror,1,-8,negative
brimo ganggu,3,-8,negative
ga buka brimo,2,-6,negative
knp bri ga bisalakukan transaksi,2,8,positive
kesana sono aplikasi banget ganggu,1,-14,negative
gngguan gk login,5,0,neutral
ganguan ngga,1,-4,negative
transaksi kenal ganggu malam,1,-6,negative
apdet ko masuk susah ya gimana ni kerjasamanya buka apdet memper mudah transaksi ko ngga login,2,-8,negative
lumayan puas,4,2,positive
ganggu,5,-8,negative
tidak login,3,-10,negative
banyak ganggu,1,-14,negative
brimo malam gabisa akses,1,2,positive
ganggu malamnyaa lamaa butuh cepat dn tngah malam mbanking bri tidak pakee parahh,1,-36,negative
maintenanance banget bikin rugi transaksibrimolloorrrr,1,-8,negative
ni selasa sept aplikasi brimo ga buka ganggu ya,5,-14,negative
gara salah sandi tidak buka,5,-32,negative
kalau malem ganggu brimo,1,-12,negative
maintenance urgent lho,1,0,neutral
brimo malam error butuh banget kayak,1,-26,negative
sampe jam ganggu nya yah,4,-8,negative
tolong mudah,5,-6,negative
ya brimo maintenance nya sulit kalau perlu dadak gin,1,16,positive
switch brimo netspend say much happier charges going love round best ideas ever unlike netspend walmart card ableist use cash app use instant cart things cant dowith netspend also brimo card chip mention spot need little help overdraw account deciding cover wont start earn make happen ask make tip continue help option tip want mandatory best choice,5,2,positive
klo malam ganggu transaksi nunggu normal pdhl buru biasa ga hilang,2,-20,negative
bagus sih tp maintenance tambah kalau transaksi suka ganggu,2,-6,negative
jujur aplikasi udah bagus cuman udah malam apk udh susah buka kadang jaring bagus bilang koneksi internet bagustolong tingkat kualitas malam apk,4,-28,negative
eror aplikasi busuk,5,-26,negative
log brimo,1,0,neutral
ok bget,5,8,positive
malas kadang suka ganggu,4,-12,negative
woy knp brimo jlk banget,1,2,positive
subuh ganggu,5,-8,negative
susah login trus hadeuh saldo dipake susah nyesel gua dimasukin brimo,2,-24,negative
mudah,5,-2,negative
tdk transaksi,3,8,positive
apk uang brimo,1,0,neutral
banget ganggu orang mo beli makan jam sampe jam kaga tolong deh kalau baik kasih info email gimanaa,1,-30,negative
bank ganggu baik,1,-10,negative
error,2,-10,negative
kepala brimo masalah tidak login alas nya mohon maff proses transaksi,2,-12,negative
brimo buka,2,-6,negative
benerin apas apk gajelas butuh duit banget gabisa buka suruh nunggu lot banget bikin kesel orang gunain duit sulit,4,-40,negative
brimo buka ya,5,2,positive
hp hilang rua nomor updet provider gk gnti nomor ehh akun brimo gk bsa buka lg gimana cerita ya email nomor hp nomor rekening ktp akun gk bsa buka,1,-28,negative
transaksi jam malam buruk,1,-4,negative
bri mo malam ganggu yamau login tulis tidak mempeoses transaksi,1,-12,negative
gagal masuk,5,-14,negative
masuk gk,5,-6,negative
bos aplikasi brimo dadak tidak buka dah jam tidak buka tolong respon ya,5,-26,negative
ganggu mulu nih aplikasi,1,-18,negative
trobelmau transaksi tidak,1,-2,negative
parah bener orang transaksi ga maintenance,1,-4,negative
knpa ni brimo suka eror si,1,-10,negative
referensi tabung,5,6,positive
gk login ya,3,8,positive
bri mo ganggu error,4,-18,negative
ganggu jam,1,-8,negative
tidak login ya,5,-2,negative
login,2,0,neutral
ganggu bank nya ganggu kecewa bank,1,-16,negative
lumayan praktis,5,4,positive
terimakasih brimo mudah guna transaksi,5,18,positive
daftar siang bri cabang eror aja,1,-12,negative
brimo ganggu tolong respon nya,5,-8,negative
offline bikin rugi customer,1,-10,negative
brimo tidak masuk,5,-16,negative
brimo ganggu ya,2,0,neutral
aplikasi nya bagus banget kartu susah transaksi tarik,5,-8,negative
sangattt muas kebnyakan line nyaa kdgn butuh ngeselin nya aplikasi inj,1,-18,negative
udah maintance banget udah gitu potong gede bulan,1,-8,negative
ganggu brimo,2,-8,negative
nggk login jam malam,1,-2,negative
suka eror kalau buka,1,-18,negative
brimo buka babi,1,-14,negative
eror paraheror aneh,1,-16,negative
jam atas emang tidak login transaksi kah,1,-10,negative
gatau knpa brimo sekarang gabisa akses jam mlm banget ganggu,1,-4,negative
bakus,5,0,neutral
errornya orang transaksi susah,1,2,positive
bantu sih tpi malem error,3,-20,negative
brimo login gagal,2,-8,negative
brimo eror mulu login apk nya,3,-10,negative
hallo aplikasi brimo akses,5,4,positive
eror sii parah darurat,1,-26,negative
error,1,-10,negative
update tidak,1,-10,negative
mantap bos qu transaksi mudah,5,22,positive
sinya bagus wifi normal paket tp krnapa buka brimo konksi bagus,1,-12,negative
bug kendala posisi yang gentingbrand layan kaya toko swalayan,1,-18,negative
kh berimo gk buka jelas nya,5,-12,negative
bagus hebat,4,-8,negative
gaada guna tf malem gabisa nyesel bettt dah gua bikin brimo,1,-28,negative
suka ganggu klo udh maintenance,1,-10,negative
layan buruk terjadj eror,1,-22,negative
butuh tdk pakai,1,-10,negative
aplikasi erorr padahl sinyal bagussmalah tidak masukpadahl transaksi buru,1,-16,negative
kali ganggu,1,-8,negative
sering eror kalau malem,2,-6,negative
login brimo malamsering mohon baik,1,-6,negative
maintenance maintenance,1,0,neutral
aju pinjam online,3,-6,negative
aplikasi setan sdh jam mlm tdk akses sdh tgu dr jam loh binatang,1,-12,negative
wib smpai gk bsa pakaimembuat gagal transaksi jam tersebutmau beli jd susah,1,-10,negative
wagu,1,8,positive
ko ga buka si baca koneksi udah nge wifi susah buka gimna si bri tf aja susah benget lg,1,-32,negative
knpa ganggu,5,-8,negative
susah loginkenapa susah,2,-12,negative
kali error malam ken narik duet ngk coba darurat butuh uang gimana tuh min tolong baik gaje banget,2,-50,negative
pending ya,5,2,positive
hllo admin turunin bintang nyah kenapah brimo ku ga buka tolong bantu nama saripudin tolong bangu tabahin bintang nyah makasih,4,-14,negative
jam malam masuk aplikasi brimo,5,-16,negative
mudah bertaransaksi,3,-2,negative
aplikasi brimo megirim rekening,5,-8,negative
jeleksering ganggu,1,-8,negative
aplikasi banget saldo potong notifikasi berat sinyal lengkap fitur paket data,2,-10,negative
lancar jaya,5,4,positive
eror trus,2,-8,negative
layan buruk bri mobile ga transaksi layan buruk bri mobile,1,-20,negative
jam atas banyak eror aplikasinyapadahal sinyal kenceng buka apps yang mudah lancartp msuk brimo ajagk bisakatanya mudah online susah,1,-52,negative
kalau malam susah,1,-10,negative
eh kalau suka molor mulu gilir tari dana notif gercep gilir butuh mbleeh,1,-6,negative
apk jlk suka eror,1,-10,negative
ampas ganguan,1,-6,negative
login,2,0,neutral
terimakasih brimo bantu kirim,5,6,positive
update burukkkk ganggu,1,-8,negative
brimo mantap,5,10,positive
gmn sih brimo eror saldo sllu trpotong sndri tidak jls stiap hri saldo rban,1,-10,negative
ganguan brimo,1,0,neutral
alami login brimo masuk username password masuk mohon bantu tangan,1,-28,negative
jelek banget apk nya login tengah jam aja ganggu baik,1,-12,negative
eror,3,-8,negative
kocak banget pas masukin user id tidak tolong peebaikin,2,-10,negative
login pakai sidik jari udah tidak ya tgl sep mlam tidak,4,-20,negative
lalot,1,0,neutral
suka brimo mudah pakai,5,-4,negative
apk tolol,1,-10,negative
kadang eror mw qris saldo tulis ga gbsa bayar tpi aman,4,-4,negative
aplikasi bantu,5,-16,negative
oke puas apknya sngat mmbntu,5,10,positive
simple bantu,5,-2,negative
sngt bantu,5,-8,negative
great app,5,6,positive
bagus memper mudah urus tfr saldo dll,5,-6,negative
oke tingkat ya,5,14,positive
bug aplikasi hp samsung log brimo,4,-8,negative
ribet gara riset masuk tidak masuk kartu yang daftar kartu pasang serta data,1,-48,negative
cool,5,4,positive
muas tolong bantu aju pinjam,4,-8,negative
heard brimo finance youtuber follow immediately signed told mom signed well days later happen notice referral link bottom app called customer service say credited courtesy even though proof dates told brimo annoying missed put link top ppl see ugh update year brimo love wouldnt go back another bank suggestion allow customers choose tip amount spot repayments im sure brimo would get lot tips etc wasnt cheapest repayment amount,5,-10,negative
fcil practico,5,0,neutral
bantu banget,5,-6,negative
keren bank syariah indonesia transaksi biaya transfer nya,3,8,positive
gimana daftar brimo,2,-6,negative
uang kurang mulu dah gua jarang buka saldo rb rb maksud,3,-24,negative
brimo skrang keamananya bikin repot klo pindah hp login nya hrus bank dlu aktivasi,1,-12,negative
cepat bagus,5,-14,negative
aplikasi error ga banget iya ga daftar aneh aj gimana mo pake cb bank ga solusi org aplikasi yang errortolong baik donk,1,-44,negative
ga login asu la,1,0,neutral
gut,5,0,neutral
salah nasabah bri tanahjawa pematangsiantar apl salah apl online android mohon mudah,5,-14,negative
mantaaaap,5,0,neutral
transfer responsif cepat,5,-6,negative
cepat mudah,4,-8,negative
lumayan bagus repot atm transfer,5,-22,negative
aplikasih senang hati praktis aman tidak ribet rumah bayar tranfer terima kasih brimo moga sukses,5,-12,negative
kena agf pinjam kebanktiba saldo tarik bankgimana sih sistemnyapas dilaporin kemene adu invalid coba maksud,1,-18,negative
hasil transaksi lambat muncul nya,1,10,positive
bergunatpi aju pinjam brimob tdk,5,-6,negative
bayar qris susah saldo bayar qris rp ajah ga aneh,4,-22,negative
aplikasi brimo mantap,5,2,positive
nyaman brimo mudah,5,6,positive
mudah transaksi apapunsukses slalu utk bri,5,6,positive
mudah transfer bank,5,-2,negative
tolong baik brimo jam malam susah banget buka,2,-18,negative
buka udh ganti pasword blokir,3,-18,negative
ribet login doang pake paket data,1,-8,negative
buat pin error kek aplikasi nya,5,-16,negative
maaf bintang dana penangananya buruuk,1,2,positive
transaksi brimo cepat mudah dlm urus,5,0,neutral
pokok bantu,5,-14,negative
ga daftar gagal kode sitx foto koneksi lancar tp tetep ga bank antri hari,1,-26,negative
top banget,4,12,positive
terima kasih bantu,5,-6,negative
bantu,5,-8,negative
stabil,4,6,positive
verifikasi wajah akses izin kamera notif kamera kamera normal mohon bantuanya,4,-6,negative
mudah transaksi,5,6,positive
daftardi isi pilih lanjutkanribwt dah,1,-20,negative
pinjam online bri usaha kecil,5,-14,negative
membantudan registrasi gampang,5,-6,negative
trimakasih sdah bantu,5,0,neutral
ditto everything said review would apply things use tried use wf mobile app especially labeling certain tasks find simpler terms finally finding looking hitting block wall cant recall exactly right top covid brain right released days ago hospital however wanted weigh review totally agree concerns need minor quirks mentioned seeing year ago issues may resolved one navigation one still needs better labeling directions tab click get need goother minor quirk adjustments said also totally agree giving app star rating ease using general,5,0,neutral
okay,5,8,positive
moga,5,2,positive
thanks apl,5,6,positive
puas terbantutrm ksh,5,6,positive
pas habis baru buka,1,-6,negative
mudah paham,4,-2,negative
tari atm aplikasi denom ngga sulitttttttttttttt banget,2,-8,negative
bgus,3,0,neutral
bagus bantu bebagai transaksi,5,-8,negative
mudah cepat proses,5,-6,negative
ngk login pas step verifikasi wajah kamera nya ngk akses udah izin kamera tetep ngk,1,2,positive
brimo muas transaksi,5,18,positive
sip cepet aman amanah,5,14,positive
bantu,5,-8,negative
keren simpel,5,6,positive
aman aplikasi ribet ganti hp kartu daftar data pake autentik google sms kartu aman,2,-28,negative
banking app allowed utilize electronic forum app works well intuitive mainly doesnt piss good job developers people manage,5,4,positive
mantabs,5,0,neutral
best aplication,5,0,neutral
bantu dari mesin atm,5,-14,negative
mudah usaha,5,-10,negative
bagus,5,-8,negative
alam takut gagal eh sucsess mkasih brimo,5,-18,negative
sms notifnya nonaktif potong saldo tolong bik,1,-4,negative
alhamdulillah mudah transaksi,5,16,positive
mudah transaksi,5,6,positive
love proses cepat,5,-10,negative
susah banget verifikasi wajah gagal dah pake polos kerudung ktp gagal susah ya daftar aja susah,1,-38,negative
harap tambah limit ambil tunai sama kartu atmdan rp ambil terkadang butuh bayar tunai,1,-12,negative
bintang yang bicara,5,-10,negative
brimobterbaik,5,0,neutral
ok manfaat,5,18,positive
mudah transaksi apa,5,0,neutral
gk ragu sih apk emang cocok kasi star,5,-18,negative
baek slalu update tawar akses butuh,5,-14,negative
senang transaksi via brimo,5,0,neutral
bagus cepet,5,-4,negative
aplikasi bagus mudah cepat bantu,5,-32,negative
mantul boss,5,0,neutral
transaksi mudah,5,6,positive
puas,1,6,positive
mudah utk trnsf mobile brimo,5,-2,negative
suka bnget brimo acung jempol utk bank bri,5,6,positive
arti kode tgde min buka pinjam bri barusan yang muncul,4,-26,negative
mudah sekak,5,-2,negative
eror mulu,1,-10,negative
kadang susah login koneksi oke suruh cek koneksi payah,2,-24,negative
good pokok nya,5,4,positive
kali aman mudah,5,-2,negative
guna,4,2,positive
good best serba gampang tf mana aja ribet,5,-2,negative
mantaf profesional,5,0,neutral
bri transaksi simplecepat aman percaya milik bumn yang ratus mantap,5,14,positive
apk yang bagus,5,-18,negative
mudah top,5,8,positive
easy im love thank much,5,2,positive
mudah simpel manfaat,5,14,positive
sms kode otp masuk ulang kali kali sms tolong baik cs bank dekat trus telfon cs pusat hadehh,5,-20,negative
oke poko,5,0,neutral
keren praktis,5,8,positive
brimo aplikasi baik adatanks brimo,5,-10,negative
fast transaction good app,5,10,positive
aplikasi hebat ribet,5,-16,negative
aplikasi jalan lancar ganti device coba data selular cantum akun brimo handphone sesuai,2,-12,negative
makasih,5,8,positive
mudah tidak atm tidak bawa duit kes hati kode otp karyawan bri,5,-26,negative
terima kasih brimo,5,2,positive
bri payah reken pakai dah mati aneh pemberitahuan lucu rek mati terima tranferan uang bank bank tipu rakyat kah,1,-40,negative
easy navigate accurately safe reliable,5,0,neutral
mantap sesuai,5,16,positive
mudah hidup,5,-10,negative
bagus praktis beli pulsa transaksi gagal ya,5,-4,negative
puas mudah proses transaksi nya,5,14,positive
transaksi mudah cepat,5,0,neutral
mantap lancarterimakasih brimoudah partner bisnis favorit,5,16,positive
oke siii,5,4,positive
fitur pinjam modal usaha bikin qr pdagang apk kalah les mnding hps aja tuh kalau layan online aplikasi tp ga respon proses boro deh,1,-32,negative
apps sngat bagus,5,-8,negative
mudahbermanfaat,5,0,neutral
mudah yng sedia brimo,5,2,positive
mudah cepat,5,-8,negative
orang senang ajar,5,-14,negative
coba daftar trss upload foto ktp ga gagal trss heran udah kali daftar ga upload ulang mulu gmn sih,1,-24,negative
updetsusah masuk,5,-6,negative
transaksi mudah dg genggam,5,6,positive
mantap boss bantu,5,2,positive
nice game,5,12,positive
aplikasi bodoh,1,-8,negative
verifikasi wajah eror udah ikut instruksi udah ruang cerah pas gilir verifikasi wajah suruh lepas masker pakai masker barang yang tutup wajah aja gk suruh geleng kepala kiri kanan perlahan tetep gk capek payah,1,-64,negative
tolong tambahkn kirim kode nya whatsapp,5,-6,negative
bagus aplikasi nya bantu,5,-24,negative
baharu,5,0,neutral
oke brimo,4,4,positive
moga jaga aman aplikasi bobol orang jahat,5,-28,negative
oje,5,0,neutral
good service,5,10,positive
bagud,5,0,neutral
mantap mudah,5,8,positive
bagus bangat mudah,5,-10,negative
qris lancar,5,-4,negative
thanks,5,6,positive
terimakasihsaya bantu aplikasi inilayanannya cepat,5,-22,negative
bantu terima transfer uang atm,5,-4,negative
mudah,5,-2,negative
buka rekening mudah simple transaksi cepat terima kasih bri,5,2,positive
terima kasih layan baik nya,5,-4,negative
bantu terimakasih brimo,5,2,positive
kirim mudah,5,2,positive
app great longest time last month making transfers one account another impossible forcing call automated line dont know contact support hope fix trying initiate transfer selecting account trying select account freezes wheel spins hours,5,14,positive
dapeti kode refereal nya gimana ya,3,2,positive
aktif fingerprit log,1,-6,negative
bagus layan,5,-12,negative
mudah,5,-2,negative
bitang liat perkembngan,5,-2,negative
daftar susah,1,-12,negative
bantu mudah,5,-10,negative
kali terima notif brimo yang masuk saldo kurang ya,4,-6,negative
transaksi mudah,5,6,positive
mudah urus,5,-2,negative
uang hilang hilang ribu biaya sms ya,3,-8,negative
rusak aplikasi nya baru login,3,-16,negative
cs bri kcp tanjung pura paten x layan,5,-4,negative
mantap terimakasih bri,5,20,positive
mantap betull,5,10,positive
bantu proses transaksi,5,2,positive
bagus,4,-8,negative
bantu efisien,5,0,neutral
mudah urus,5,-2,negative
aplikasi crash mulu install ulang gajelas,2,-18,negative
nayamul ljez,4,0,neutral
nyesel pake bri hari ambil rb kena biaya rb ambil sya henti pake bri,2,-44,negative
daftar brimo gagal ya transaksi gagalkode sisx kode data tolong admin mohon bantu,4,-26,negative
mantap,5,10,positive
aplikasi brimo mudah bantu sayang potong sms pemberitahuan masuk biaya,4,-40,negative
pake bri mudah dipake aplikasi,5,-10,negative
tolong knp daftar upload foto gagal nya foto gambar bagus hasil nya blur gagal daftar ulang ulang,2,-36,negative
yh saldo nyh ngurangin saldo nyh k ngurangin nyh,4,8,positive
app nya mantap mudah lot,4,-2,negative
aplikasi mudah transaksi,5,-2,negative
mudah hidup,5,-10,negative
enak mudah,5,-10,negative
may concernfirst let say thank exemplary revised customer service improvements simply amazed point changing thought pattern recipient appropriate civil service taking care tasks within brimo branch anywhere us totally stand corrected impressed consistency respect brimo patron youve done amazing overhaul dont believe could done betteri like security features place make life much easier less stressful knowing dont need check accounts daily basis even frequently daysso words express security operate daily affairs provided opportunity focus import things increase financial growththank public service specialists compassionately inclined exemplary courteous minded men women brimo banking society extremely impressed say leastauthenticity sinceremr michael b garren srangelic investments founder ceo,5,18,positive
best moblie bank app get promise,5,0,neutral
gagal daftar brimo salah tanggal udah smua ktp,1,-30,negative
ok banget bantu,5,2,positive
alhamdulillah brimo cepat tf nya,5,4,positive
tolong perbaikikenapa aplikasi brimo ku buka,3,-18,negative
credit builder works,5,0,neutral
bantu urus uang terimakasih brimo,5,2,positive
tolong admin operator brimo transaksi nyangkut bulan knp blum proses aplikasi brimo bugatau error sistem nya nyaman,2,-14,negative
benci pakai brimo potong sms lapor kecs bank tidak ngaruh,1,-20,negative
like,5,0,neutral
goooooood,5,0,neutral
username pasprot tidak baa login,5,-10,negative
bantu aplikasi,5,-16,negative
bantu proses hari,5,-6,negative
pindah nih masak login aja tidak hp,3,-18,negative
bagus apknya,5,-8,negative
bener bantu brimo,5,-10,negative
proses cepat mudah,5,-6,negative
bantu transaksi perban,5,-6,negative
aman bagus ga tingkat aman nasabah,5,2,positive
simple tdk neko neko,5,6,positive
manfaat bantu,5,2,positive
brimo bank best app quick safe simple dan ezwhat could,5,6,positive
industry find app userfriendly,5,0,neutral
love app takes time pleasant yet snafus,5,-6,negative
pakai bagus notifnya jalan lancar sy gk tau info uang kirim atw tidak nya notifnya hilang yang notif info iklan itu menggangu gk silent kadang jam notif iklan yang masuk,2,-70,negative
bantu jd tidak repot atm,5,-28,negative
bantu transaksi mudah,5,-2,negative
brimo costco card easy use age appreciate using much,5,0,neutral
cepat mudah aman,5,-8,negative
login akun brimo nomor yang,4,-10,negative
